"Ltemperature"	"Ltime"	"Lpressure"	"Ftemperature"	"Ftime"	"Fpoint"	"Run"	"Camber"
"0"	"0"	"0"	"0"	"0"	"0"	"1"	0.0167
"1"	"0"	"0"	"0"	"1"	"1"	"1"	0.0062
"0"	"1"	"0"	"0"	"1"	"0"	"1"	0.0041
"1"	"1"	"0"	"0"	"0"	"1"	"1"	0.0073
"0"	"0"	"1"	"0"	"1"	"1"	"1"	0.0047
"1"	"0"	"1"	"0"	"0"	"0"	"1"	0.0219
"0"	"1"	"1"	"0"	"0"	"1"	"1"	0.0121
"1"	"1"	"1"	"0"	"1"	"0"	"1"	0.0255
"0"	"0"	"0"	"1"	"0"	"1"	"1"	0.0032
"1"	"0"	"0"	"1"	"1"	"0"	"1"	0.0078
"0"	"1"	"0"	"1"	"1"	"1"	"1"	0.0043
"1"	"1"	"0"	"1"	"0"	"0"	"1"	0.0186
"0"	"0"	"1"	"1"	"1"	"0"	"1"	0.011
"1"	"0"	"1"	"1"	"0"	"1"	"1"	0.0065
"0"	"1"	"1"	"1"	"0"	"0"	"1"	0.0155
"1"	"1"	"1"	"1"	"1"	"1"	"1"	0.0093
"0"	"0"	"0"	"0"	"0"	"0"	"2"	0.0128
"1"	"0"	"0"	"0"	"1"	"1"	"2"	0.0066
"0"	"1"	"0"	"0"	"1"	"0"	"2"	0.0043
"1"	"1"	"0"	"0"	"0"	"1"	"2"	0.0071
"0"	"0"	"1"	"0"	"1"	"1"	"2"	0.0047
"1"	"0"	"1"	"0"	"0"	"0"	"2"	0.0258
"0"	"1"	"1"	"0"	"0"	"1"	"2"	0.009
"1"	"1"	"1"	"0"	"1"	"0"	"2"	0.025
"0"	"0"	"0"	"1"	"0"	"1"	"2"	0.0023
"1"	"0"	"0"	"1"	"1"	"0"	"2"	0.0158
"0"	"1"	"0"	"1"	"1"	"1"	"2"	0.0027
"1"	"1"	"0"	"1"	"0"	"0"	"2"	0.0137
"0"	"0"	"1"	"1"	"1"	"0"	"2"	0.0086
"1"	"0"	"1"	"1"	"0"	"1"	"2"	0.0109
"0"	"1"	"1"	"1"	"0"	"0"	"2"	0.0158
"1"	"1"	"1"	"1"	"1"	"1"	"2"	0.0124
"0"	"0"	"0"	"0"	"0"	"0"	"3"	0.0149
"1"	"0"	"0"	"0"	"1"	"1"	"3"	0.0044
"0"	"1"	"0"	"0"	"1"	"0"	"3"	0.0042
"1"	"1"	"0"	"0"	"0"	"1"	"3"	0.0039
"0"	"0"	"1"	"0"	"1"	"1"	"3"	0.004
"1"	"0"	"1"	"0"	"0"	"0"	"3"	0.0147
"0"	"1"	"1"	"0"	"0"	"1"	"3"	0.0092
"1"	"1"	"1"	"0"	"1"	"0"	"3"	0.0226
"0"	"0"	"0"	"1"	"0"	"1"	"3"	0.0077
"1"	"0"	"0"	"1"	"1"	"0"	"3"	0.006
"0"	"1"	"0"	"1"	"1"	"1"	"3"	0.0028
"1"	"1"	"0"	"1"	"0"	"0"	"3"	0.0158
"0"	"0"	"1"	"1"	"1"	"0"	"3"	0.0101
"1"	"0"	"1"	"1"	"0"	"1"	"3"	0.0126
"0"	"1"	"1"	"1"	"0"	"0"	"3"	0.0145
"1"	"1"	"1"	"1"	"1"	"1"	"3"	0.011
"0"	"0"	"0"	"0"	"0"	"0"	"4"	0.0185
"1"	"0"	"0"	"0"	"1"	"1"	"4"	0.002
"0"	"1"	"0"	"0"	"1"	"0"	"4"	0.005
"1"	"1"	"0"	"0"	"0"	"1"	"4"	0.003
"0"	"0"	"1"	"0"	"1"	"1"	"4"	0.0089
"1"	"0"	"1"	"0"	"0"	"0"	"4"	0.0296
"0"	"1"	"1"	"0"	"0"	"1"	"4"	0.0086
"1"	"1"	"1"	"0"	"1"	"0"	"4"	0.0169
"0"	"0"	"0"	"1"	"0"	"1"	"4"	0.0069
"1"	"0"	"0"	"1"	"1"	"0"	"4"	0.0045
"0"	"1"	"0"	"1"	"1"	"1"	"4"	0.0028
"1"	"1"	"0"	"1"	"0"	"0"	"4"	0.0159
"0"	"0"	"1"	"1"	"1"	"0"	"4"	0.0158
"1"	"0"	"1"	"1"	"0"	"1"	"4"	0.0071
"0"	"1"	"1"	"1"	"0"	"0"	"4"	0.0145
"1"	"1"	"1"	"1"	"1"	"1"	"4"	0.0133
