Exam	Gender	Attend	Assign	Midterm
42	Male	Yes	17.2	9.1
58	Female	Yes	17.2	13.6
81	Female	Yes	17.2	14.5
86	Female	Yes	19.6	19.1
35	Male	No	8	8.2
72	Female	Yes	18.4	12.7
42	Female	Yes	14.4	7.3
25	Male	No	8.8	10.9
36	Female	Yes	17.6	10.9
48	Female	Yes	12	9.1
29	Female	No	12.4	9.1
54	Female	Yes	18	14.5
49	Female	No	18	11.8
52	Female	No	12	15.5
28	Female	No	16.4	10
34	Female	Yes	16	7.3
51	Male	Yes	5.6	10
81	Male	No	16.8	17.3
80	Female	Yes	16.4	15.5
41	Male	Yes	13.6	10.9
77	Female	No	16.4	12.7
32	Female	No	8	10
40	Female	No	6.4	6.4
73	Female	Yes	17.2	11.8
46	Female	No	10.8	12.7
89	Female	No	20	18.2
87	Male	Yes	18.8	11.8
38	Female	Yes	13.2	12.7
49	Male	Yes	12.8	10.9
36	Female	No	12.8	12.7
93	Male	Yes	18	19.1
31	Female	No	2.4	4.5
74	Male	Yes	16	16.4
60	Male	Yes	13.2	11.8
65	Female	Yes	18.4	11.8
77	Female	Yes	16	12.7
40	Male	Yes	15.6	10.9
43	Male	Yes	11.6	10
28	Female	No	7.6	11.8
57	Female	No	17.6	14.5
35	Female	Yes	14.4	6.4
48	Male	Yes	12	12.7
65	Male	Yes	14.4	10.9
41	Female	No	5.6	10
61	Male	Yes	18.4	11.8
64	Female	Yes	15.6	14.5
63	Male	Yes	14	11.8
84	Female	Yes	19.2	17.3
63	Female	Yes	14.8	11.8
78	Female	Yes	17.6	14.5
76	Male	Yes	16.8	14.5
49	Male	Yes	17.2	8.2
45	Male	Yes	11.6	6.4
55	Male	Yes	13.6	13.6
47	Male	No	17.6	9.1
36	Male	Yes	12.4	13.6
72	Female	Yes	18	15.5
35	Male	No	14	4.5
42	Female	Yes	14.4	12.7
70	Female	Yes	17.6	13.6
60	Female	Yes	16	9.1
44	Female	No	14.8	9.1
91	Male	Yes	19.6	20
53	Female	Yes	13.6	6.4
67	Male	Yes	17.2	14.5
58	Female	Yes	14	13.6
81	Female	Yes	16.8	15.5
52	Female	No	14.4	6.4
47	Female	Yes	16	9.1
42	Male	Yes	13.6	6.4
32	Female	No	9.6	13.6
42	Male	No	11.2	13.6
61	Male	Yes	14	10
87	Male	Yes	18	18.2
46	Female	Yes	13.6	10
54	Female	No	14.8	10.9
72	Male	No	17.2	15.5
11	Male	Yes	2.4	5.5
73	Female	Yes	18.4	14.5
71	Female	Yes	15.2	15.5
53	Male	Yes	14.8	10.9
72	Female	Yes	16	14.5
58	Female	Yes	13.6	15.5
58	Female	Yes	18.4	15.5
27	Female	Yes	11.6	7.3
42	Female	Yes	11.6	7.3
62	Female	Yes	18	13.6
23	Female	No	6.4	8.2
30	Female	No	10	10
62	Female	Yes	16.4	11.8
51	Male	No	9.2	12.7
70	Male	Yes	18	14.5
83	Female	Yes	18	20
76	Female	Yes	17.2	17.3
77	Male	Yes	19.6	18.2
36	Male	Yes	12.4	8.2
75	Female	Yes	18.8	17.3
25	Male	No	12.8	6.4
56	Female	No	16	10
20	Female	Yes	5.6	3.6
72	Male	No	16.4	16.4
42	Female	Yes	17.6	10.9
53	Female	Yes	14.8	10.9
41	Male	No	5.2	4.5
48	Male	Yes	15.2	10.9
24	Male	No	2.8	14.5
32	Male	No	10.8	7.3
60	Female	Yes	16	12.7
38	Female	Yes	18.4	10
25	Male	Yes	0	5.5
27	Male	No	2.4	5.5
47	Female	No	13.6	10
28	Male	No	3.6	11.8
41	Female	Yes	12.4	4.5
46	Male	Yes	10.8	11.8
57	Male	Yes	9.2	10.9
30	Male	No	6.4	6.4
63	Female	Yes	19.2	11.8
46	Female	Yes	16.4	13.6
54	Female	Yes	12	13.6
39	Male	Yes	17.2	12.7
72	Female	Yes	18	16.4
63	Male	Yes	16	13.6
38	Male	No	6	5.5
33	Male	No	12	5.5
42	Male	No	9.6	9.1
75	Male	Yes	18.4	15.5
56	Female	Yes	14	8.2
85	Male	Yes	18.4	20
44	Female	No	10.8	7.3
44	Male	Yes	16.4	10
18	Male	No	2	3.6
20	Female	Yes	7.2	6.4
55	Male	No	16	13.6
24	Male	No	10.8	9.1
42	Male	Yes	10.8	10
69	Male	Yes	17.6	12.7
74	Female	Yes	16.4	14.5
30	Male	Yes	13.2	6.4
48	Male	Yes	12.4	16.4
53	Male	Yes	15.6	11.8
48	Male	No	14.4	8.2
76	Male	Yes	8.8	10.9
60	Female	Yes	18	13.6
89	Female	Yes	17.6	16.4
61	Male	Yes	15.6	13.6
