"debonding"	"time"	"voltage"	"ph"	"temp"
2.24	24	1000	8.47	299
3.581	43	1000	8.55	299
5.131	84	1000	8.53	299
5.715	159	1000	8.6	297
0.889	3.79	1100	7.72	300
2.845	17	1100	7.83	299
6.147	37	1100	4.91	299
7.016	54.2	1100	3.79	299
7.747	58	1100	3.69	299
8.286	85	1100	3.7	298
9.321	89	1100	3.91	297
9.195	95	1100	3.57	296
1.895	1.85	1420	4.43	298
3.708	5.88	1420	3.67	298
3.467	7.02	1420	2.89	298
5.049	13.88	1420	2.56	298
4.846	17.19	1420	2.56	298
6.108	19.8	1420	2.84	298
7.137	33.8	1420	3.22	298
8.295	40.8	1420	3.54	298
1.168	0.83	1825	3.73	298
2.865	8.08	1825	3.45	295
3.912	21.08	1825	2.85	298
3.726	21.08	1825	2.85	298
4.521	7	1400	8.88	303
5.664	15	1400	8.88	303
7.62	27	1400	8.88	303
9.766	52	1400	8.88	303
12.497	65	1400	8.88	303
2.174	1.76	1310	5.46	313
8.153	7.9	1310	2.15	309
10.757	20.9	1310	2.55	312
